"filename", "language", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\App.jsx", "JavaScript", 28, 0, 0, 4, 32
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\Theme.jsx", "JavaScript", 42, 0, 0, 4, 46
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\close-button\close-button.component.jsx", "JavaScript", 5, 0, 0, 2, 7
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\close-button\close-button.styles.jsx", "JavaScript", 25, 0, 0, 3, 28
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\close-button\icon\close.svg", "XML", 0, 1, 0, 0, 1
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\footer\footer.component.jsx", "JavaScript", 4, 0, 0, 4, 8
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\footer\footer.styles.jsx", "JavaScript", 9, 0, 0, 2, 11
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\header\header.component.jsx", "JavaScript", 18, 0, 0, 3, 21
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\header\header.styles.jsx", "JavaScript", 48, 0, 0, 4, 52
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\hero\hero.component.jsx", "JavaScript", 11, 0, 0, 3, 14
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\hero\hero.styles.jsx", "JavaScript", 46, 0, 0, 3, 49
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\index.js", "JavaScript", 16, 0, 0, 2, 18
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\list-item-loader\list-item-load.styles.jsx", "JavaScript", 2, 0, 0, 2, 4
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\modal\model.styles.jsx", "JavaScript", 50, 0, 0, 3, 53
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\navbar\slider-navbar.component.jsx", "JavaScript", 46, 0, 0, 6, 52
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\navbar\slider-navbar.styles.jsx", "JavaScript", 110, 0, 2, 8, 120
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\offer-card.js\offer-card.styles.jsx", "JavaScript", 72, 0, 0, 6, 78
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\pop-up-dialog\dialog.component.jsx", "JavaScript", 33, 0, 12, 5, 50
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\pop-up-dialog\dialog.styles.jsx", "JavaScript", 73, 0, 0, 6, 79
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\scroll-to-top\scroll-to-top.component.jsx", "JavaScript", 13, 0, 2, 4, 19
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\spinner\spinner.component.jsx", "JavaScript", 10, 0, 0, 4, 14
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\components\spinner\spinner.styles.jsx", "JavaScript", 73, 0, 0, 2, 75
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\containers\app\app-container.component.jsx", "JavaScript", 4, 0, 0, 4, 8
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\containers\app\app-container.styles.jsx", "JavaScript", 8, 0, 0, 2, 10
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\containers\index.js", "JavaScript", 3, 0, 0, 2, 5
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\containers\main\main-container.component.jsx", "JavaScript", 4, 0, 0, 4, 8
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\containers\main\main-container.styles.jsx", "JavaScript", 6, 0, 0, 2, 8
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\global\index.js", "JavaScript", 4, 0, 0, 2, 6
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\global\routes.js", "JavaScript", 1, 0, 0, 1, 2
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\global\styles\global-styles.jsx", "JavaScript", 83, 0, 0, 2, 85
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\global\styles\shared-styles.jsx", "JavaScript", 30, 0, 0, 2, 32
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\hoc\index.js", "JavaScript", 2, 0, 0, 2, 4
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\hoc\with-spinner\with-spinner.component.jsx", "JavaScript", 6, 0, 0, 4, 10
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\index.js", "JavaScript", 21, 0, 0, 3, 24
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\card-body-style\body-style.component.jsx", "JavaScript", 13, 0, 0, 3, 16
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\card-body-style\body-style.container.jsx", "JavaScript", 25, 0, 0, 7, 32
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\card-body-style\body-style.styles.jsx", "JavaScript", 60, 0, 0, 4, 64
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\card-make\make.component.jsx", "JavaScript", 9, 0, 0, 3, 12
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\card-make\make.container.jsx", "JavaScript", 21, 0, 0, 4, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\card-make\make.styles.jsx", "JavaScript", 45, 0, 0, 3, 48
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\offer-card\offer-card-list.component.jsx", "JavaScript", 17, 0, 0, 4, 21
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\offer-card\offer-card.component.jsx", "JavaScript", 97, 0, 0, 3, 100
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\offer-card\offer-card.styles.jsx", "JavaScript", 231, 0, 0, 7, 238
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\offers-carousel\index.js", "JavaScript", 2, 0, 0, 2, 4
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\offers-carousel\offer-card.component.jsx", "JavaScript", 40, 0, 0, 3, 43
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\offers-carousel\offer-card.styles.jsx", "JavaScript", 99, 0, 0, 4, 103
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\offers-carousel\offer-carousel.component.jsx", "JavaScript", 24, 0, 0, 4, 28
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\offers-carousel\offer-carousel.container.jsx", "JavaScript", 53, 0, 0, 8, 61
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\offers-carousel\offer-carousel.styles.jsx", "JavaScript", 55, 0, 0, 6, 61
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\offers-showcase\offers-showcase.component.jsx", "JavaScript", 19, 0, 0, 4, 23
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\offers-showcase\offers-showcase.container.jsx", "JavaScript", 21, 0, 0, 4, 25
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\offers-showcase\offers-showcase.styles.jsx", "JavaScript", 5, 0, 0, 2, 7
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\price\price.component.jsx", "JavaScript", 17, 0, 0, 3, 20
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\price\price.container.jsx", "JavaScript", 24, 0, 0, 4, 28
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\price\price.styles.jsx", "JavaScript", 34, 0, 0, 2, 36
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\quick-search\body-style-modal.component.jsx", "JavaScript", 51, 0, 0, 6, 57
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\quick-search\icon\back-arrow.svg", "XML", 0, 1, 0, 0, 1
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\quick-search\icon\search-icon.svg", "XML", 0, 1, 0, 0, 1
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\quick-search\maker-modal.component.jsx", "JavaScript", 164, 0, 0, 8, 172
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\quick-search\quick-search.component.jsx", "JavaScript", 32, 0, 0, 4, 36
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\quick-search\quick-search.styles.jsx", "JavaScript", 254, 0, 5, 21, 280
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\quick-search\view-all-button.component.jsx", "JavaScript", 30, 0, 0, 6, 36
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\section-title\section-title.component.jsx", "JavaScript", 8, 0, 0, 3, 11
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\components\section-title\section-title.styles.jsx", "JavaScript", 28, 0, 0, 3, 31
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\homepage.component.jsx", "JavaScript", 39, 0, 0, 5, 44
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\home\homepage.styles.jsx", "JavaScript", 19, 0, 0, 3, 22
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\pages\index.js", "JavaScript", 2, 0, 0, 2, 4
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\routes\home.js", "JavaScript", 8, 0, 0, 2, 10
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\routes\index.js", "JavaScript", 4, 0, 0, 2, 6
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\routes\offer.js", "JavaScript", 0, 0, 0, 1, 1
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\services\common\common.actions.js", "JavaScript", 34, 0, 0, 7, 41
"c:\Users\vasat\Desktop\GitHub\autohouse-client\src\services\common\common.api.js", "JavaScript", 7, 0, 0, 3, 10
